origin_iata,origin_city,origin_state,dest_iata,dest_city,dest_state,origin_coordinates,dest_coordinates,distance_nm,aircraft,ac_seats,ac_range_nm,capability_ratio,flag,revia_variant,source,verification
HNL,Honolulu,HI,OGG,Kahului,HI,"[-157.9242, 21.3206]","[-156.43, 20.8986]",87.4,Airbus A321neo,200,4000,45.8,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
SAN,San Diego,CA,LAX,Los Angeles,CA,"[-117.19, 32.7336]","[-118.408, 33.9425]",94.9,Airbus A320,150,3300,34.8,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
DEN,Denver,CO,COS,Colorado Springs,CO,"[-104.673, 39.8617]","[-104.701, 38.8058]",63.4,Embraer 175 (long wing),76,2200,34.7,SEVERE,R-75,Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
LAX,Los Angeles,CA,SBA,Santa Barbara,CA,"[-118.408, 33.9425]","[-119.84, 34.4262]",76.8,Embraer 175 (long wing),76,2200,28.6,SEVERE,R-75,Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
DTW,Detroit,MI,CLE,Cleveland,OH,"[-83.3534, 42.2124]","[-81.8498, 41.4117]",82.7,Embraer 175 (long wing),76,2200,26.6,SEVERE,R-75,Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
SEA,Seattle,WA,PDX,Portland,OR,"[-122.309, 47.449]","[-122.598, 45.5887]",112.3,Boeing 737-800,160,2935,26.1,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
LGA,New York,NY,DCA,Washington,DC,"[-73.8726, 40.7772]","[-77.0377, 38.8521]",186.2,Airbus A319,128,3700,19.9,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
FLL,Fort Lauderdale,FL,MCO,Orlando,FL,"[-80.1527, 26.0726]","[-81.309, 28.4294]",154.4,Boeing 737-800,160,2935,19.0,SEVERE,above R-100 (Phase 2 narrowbody story),Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
ORD,Chicago,IL,GRR,Grand Rapids,MI,"[-87.9048, 41.9786]","[-85.5228, 42.8808]",118.6,Embraer 175 (long wing),76,2200,18.5,SEVERE,R-75,Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
IAH,Houston,TX,AUS,Austin,TX,"[-95.3414, 29.9844]","[-97.6699, 30.1945]",121.6,Embraer 175 (long wing),76,2200,18.1,SEVERE,R-75,Aircraft range: mfr/industry specs. Route+equipment: illustrative real route; frequency/passengers pending DOT T-100.,ratio-confirmed; traffic needs-T-100
